87.236.176.21 - - [20/Jun/2023:03:40:02 +0300] "GET / HTTP/1.1" 200 577 "-" "Mozilla/5.0 (compatible; InternetMeasurement/1.0; +https://internet-measurement.com/)"
14.140.131.82 - - [20/Jun/2023:05:11:16 +0300] "GET / HTTP/1.1" 200 577 "http://tarrascue.ru/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36 Herring/95.1.8810.11"
23.155.24.5 - - [20/Jun/2023:08:04:56 +0300] "GET / HTTP/1.1" 200 577 "http://tarrascue.ru" "Mozilla/5.0 (iPad; CPU OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML, like Gecko) Version/10.0 Mobile/14D27 Safari/602.1"
131.153.142.170 - - [20/Jun/2023:09:20:16 +0300] "GET / HTTP/1.1" 200 577 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
20.208.47.239 - - [20/Jun/2023:10:23:09 +0300] "GET / HTTP/1.1" 200 577 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36"
20.208.47.239 - - [20/Jun/2023:10:23:09 +0300] "GET / HTTP/1.1" 200 577 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36"
20.208.47.239 - - [20/Jun/2023:10:23:09 +0300] "GET /wp-includes/wlwmanifest.xml HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36"
20.208.47.239 - - [20/Jun/2023:10:23:09 +0300] "GET /xmlrpc.php?rsd HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36"
20.208.47.239 - - [20/Jun/2023:10:23:09 +0300] "GET / HTTP/1.1" 200 577 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36"
20.208.47.239 - - [20/Jun/2023:10:23:10 +0300] "GET /blog/wp-includes/wlwmanifest.xml HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36"
20.208.47.239 - - [20/Jun/2023:10:23:10 +0300] "GET /web/wp-includes/wlwmanifest.xml HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36"
20.208.47.239 - - [20/Jun/2023:10:23:10 +0300] "GET /wordpress/wp-includes/wlwmanifest.xml HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36"
20.208.47.239 - - [20/Jun/2023:10:23:10 +0300] "GET /website/wp-includes/wlwmanifest.xml HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36"
20.208.47.239 - - [20/Jun/2023:10:23:10 +0300] "GET /wp/wp-includes/wlwmanifest.xml HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36"
20.208.47.239 - - [20/Jun/2023:10:23:10 +0300] "GET /news/wp-includes/wlwmanifest.xml HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36"
20.208.47.239 - - [20/Jun/2023:10:23:10 +0300] "GET /2020/wp-includes/wlwmanifest.xml HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36"
20.208.47.239 - - [20/Jun/2023:10:23:10 +0300] "GET /2019/wp-includes/wlwmanifest.xml HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36"
20.208.47.239 - - [20/Jun/2023:10:23:10 +0300] "GET /shop/wp-includes/wlwmanifest.xml HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36"
20.208.47.239 - - [20/Jun/2023:10:23:10 +0300] "GET /wp1/wp-includes/wlwmanifest.xml HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36"
20.208.47.239 - - [20/Jun/2023:10:23:10 +0300] "GET /test/wp-includes/wlwmanifest.xml HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36"
20.208.47.239 - - [20/Jun/2023:10:23:10 +0300] "GET /wp2/wp-includes/wlwmanifest.xml HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36"
20.208.47.239 - - [20/Jun/2023:10:23:10 +0300] "GET /site/wp-includes/wlwmanifest.xml HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36"
